lng,lat,date,customdate,time,customtime,crime,location,region,province,modus,crimetype,station,moduscode,date_com,datechar
121.035,14.7015,2018-07-15,"Sun - Jul 15, 2018",06:30:00,6:30:AM,Drug Related Incident (RA 9165),"San Bartolome, Novaliches, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 04 Novaliches,mc00,0000-00-00,Sun - Jul 
121.049,14.6343,2018-07-05,"Thu - Jul 5, 2018",19:30:00,7:30:PM,Vehicular Traffic Accident,"Pinyahan, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Thu - Jul 
121.045,14.632,2018-07-14,"Sat - Jul 14, 2018",07:30:00,7:30:AM,Vehicular Traffic Accident,"Sacred Heart, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sat - Jul 
121.04,14.7043,2018-07-15,"Sun - Jul 15, 2018",07:00:00,7:00:AM,Drug Related Incident (RA 9165),"San Bartolome, Novaliches, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 04 Novaliches,mc00,0000-00-00,Sun - Jul 
121.046,14.6389,2018-07-14,"Sat - Jul 14, 2018",19:50:00,7:50:PM,Vehicular Traffic Accident,"Central, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sat - Jul 
121.036,14.7132,2018-07-15,"Sun - Jul 15, 2018",05:30:00,5:30:AM,Drug Related Incident (RA 9165),"Gulod, Novaliches, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 04 Novaliches,mc00,0000-00-00,Sun - Jul 
121.042,14.6373,2018-07-14,"Sat - Jul 14, 2018",17:45:00,5:45:PM,Vehicular Traffic Accident,"South Triangle, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sat - Jul 
121.031,14.6387,2018-07-14,"Sat - Jul 14, 2018",13:30:00,1:30:PM,Vehicular Traffic Accident,"South Triangle, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sat - Jul 
121.045,14.6331,2018-07-14,"Sat - Jul 14, 2018",12:10:00,12:10:PM,Vehicular Traffic Accident,"Pinyahan, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sat - Jul 
121.046,14.6308,2018-07-15,"Sun - Jul 15, 2018",05:45:00,5:45:AM,Vehicular Traffic Accident,"Sacred Heart, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sun - Jul 
121.04,14.634,2018-07-13,"Fri - Jul 13, 2018",15:34:00,3:34:PM,Vehicular Traffic Accident,"South Triangle, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Fri - Jul 
121.044,14.6301,2018-07-14,"Sat - Jul 14, 2018",23:00:00,11:00:PM,Vehicular Traffic Accident,"Kamuning, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sat - Jul 
121.03,14.6295,2018-07-14,"Sat - Jul 14, 2018",18:30:00,6:30:PM,Vehicular Traffic Accident,"Laging Handa, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sat - Jul 
121.034,14.6364,2018-07-13,"Fri - Jul 13, 2018",23:30:00,11:30:PM,Vehicular Traffic Accident,"South Triangle, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Fri - Jul 
121.044,14.63,2018-07-14,"Sat - Jul 14, 2018",15:00:00,3:00:PM,Vehicular Traffic Accident,"Kamuning, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Sat - Jul 
